# Native init/fini index or - for an empty pair; rows are PACKAGEINFO order
347	Rangers
66	jpeg
-	JConsts
-	SysInit
1	System
17	Graphics
-	Types
-	Consts
15	Registry
-	RTLConsts
14	IniFiles
3	Windows
13	Classes
-	SysConst
-	ActiveX
-	Messages
11	TypInfo
7	SysUtils
-	ImageHlp
9	Variants
8	VarUtils
48	Clipbrd
50	Forms
22	UxTheme
-	SyncObjs
-	CommCtrl
26	DwmApi
28	Themes
27	Controls
-	Math
25	ActnList
30	Menus
-	ImgList
-	Contnrs
-	Imm
23	MultiMon
-	StdActns
-	ShlObj
-	UrlMon
-	WinInet
-	RegStr
-	ShellAPI
-	StrUtils
47	Dialogs
31	HelpIntfs
-	WideStrUtils
-	Dlgs
43	ExtCtrls
42	GraphUtil
-	StdCtrls
33	Printers
-	WinSpool
-	CommDlg
34	FlatSB
177	GI_PSWeapon17Kafacitor
-	GR_GraphBuf
52	GlobalsV
-	EC_Str
338	GR_Main
-	MessageText
-	EC_BlockPar
-	BlockParException
341	aMyFunction
-	aGalaxy
-	fFilmFile
330	Globals
-	EC_Cache
64	GR_DX
-	EC_Mem
-	MMSystem
-	Direct3D9
-	EC_CachePlanetTempl
-	EC_Struct
-	EC_CachePalBitmap
-	GR_GraphBufPal
-	EC_Buf
-	CrcUnit
-	EC_File
59	EC_HsFile
-	EC_OKGF
73	EC_Data
-	EC_CacheSound
-	GR_AMStream
-	GR_Sound
-	VorbisFile
-	EC_FileStream
-	EC_Thread
-	DirectSound
-	EC_CacheGI
-	GR_gi
-	EC_CacheGAI
-	EC_CacheAlphaBitmap
-	EC_CacheTBitmap
-	EC_CacheBitmap
-	PopUp
-	GI_Image
-	GI_Main
-	BreakMessageGIException
-	GI_XviD
-	GI_MessageLoop
-	GR_Music
-	GI_Window
-	GI_Panel
-	GR_Rect
-	GI_GraphBuf
-	GI_Label
-	EC_CacheFont
-	GI_Cursor
-	VFW
-	GI_PolyLine
-	GI_Circle
-	GI_SpaceImg
-	GI_SpaceCircle
-	GI_StarFieldImg
-	GI_StarFieldM
-	EC_CacheRotateBuf
-	EC_CacheLightPal
-	GI_StarField
-	GI_ShrLight
-	GI_Frame
-	GI_Line
-	GI_Grid
-	GI_SimpleImage
-	GI_TransImage
-	GI_ScrollBar
-	GI_PanelScrollBar
-	GI_RadioGroup
-	GI_CheckBox
-	GI_PlanetButton
-	GI_Planet
-	GI_StatusBar
-	GI_CountBar
-	GI_GraphButton
-	GI_Edit
-	GI_Zone
-	GI_TextButton
-	GI_SimpleButton
-	GI_Door
-	GI_GAI
-	GI_MultiImage
-	GI_GAIFile
-	GI_GI
-	GI_AImage
-	GI_InfiniteImage
-	GI_AlphaImage
-	GI_RotateImageGAI
-	GI_RotateImage5
-	EC_CacheHSAI
-	GI_RotateImage2
-	GI_RotateImage
-	GI_SBPath
-	fPanelMain
269	fSaveManager
-	fPanelLoad
-	aPlayer
281	fEquipmentShop
-	fRuinsTalk
-	fHangar
279	fShip2
-	aPlanet
197	Achievements
-	WStringUtils
-	NoSteamAchievemens
307	aConst
-	SE_Weapon
181	GI_RadialEffect
-	GI_PSWeapon
180	GI_PSMissileHit
-	GI_PDTurretWeapon
-	GI_PSEyes
176	GI_PSWeapon16Esodafer
175	GI_PSWeapon14Vertix
174	GI_PSWeapon13IMHO
173	GI_PSWeapon12Turbogravir
172	GI_PSWeapon11Desintegrator
171	GI_PSWeapon10AVision
170	GI_PSWeapon09MResonator
169	GI_PSWeapon08ECutter
168	GI_PSWeapon07Blaster
167	GI_PSWeapon06Phaser
166	GI_PSWeapon05Treton
165	GI_PSWeapon03Lezka
164	GI_PSWeapon02FragCannon
163	GI_PSWeapon01Laser
-	SE_Ship2
-	SE_Process
-	SE_GAIEffect
-	SE_Space
-	aEFilmEnd
-	SE_Hole
-	aEFilm
-	fStarMap
-	fLoadRobot
332	Robot
-	GI_MessageBox
-	aPirate
290	CheatCode
-	fScore
-	aShip
-	aMissile
205	aPath
-	aGalaxyStruct
-	aVector
289	aKling
299	aItem
-	aScript
-	fPlanetNO
-	fPlanetQuest
-	fLoadQuest
-	EC_CacheBuf
-	aRanger
-	aAsteroid
-	SE_Asteroid
-	TextQuest
-	CPDiapClass
-	TextFieldClass
-	ValueListClass
-	SequenceClass
-	LocationClass
-	CalcParseClass
-	CPVarClass
-	ParameterClass
-	EventClass
-	ParViewStringClass
-	ParameterDeltaClass
-	PathClass
-	TextQuestInterface
-	aGalaxyEvent
-	aRuins
-	aTranclucator
-	aWarrior
-	aGroup
-	aTransport
-	aNormalShip
-	SE_Ruins
-	aSaveLoad
-	fChameleon
-	fSelectFace
265	fJournal
-	aCalc
-	ThreadCalc
-	fJump
-	fLoad
-	SE_Gate
-	ab_Object
-	ab_ShipAI
-	ab_Space
-	ab_Hit
-	ab_MainForm
-	SE_Planet
-	SE_Star
-	ab_Ship
-	ab_Zone
237	ab_StopLine
234	ab_Polygon
-	GI_PolyFill
-	ab_Global
-	ab_WorldImage
-	ab_WorldLine
-	abWall
-	ab_ShipWall
-	ab_W
-	ab_W18
-	ab_W17
-	ab_W16
-	ab_W15
-	ab_W14
-	ab_W13
-	ab_W12
-	ab_W11
-	ab_W10
-	ab_W09
-	ab_W08
-	ab_W07
-	ab_W06
-	ab_W05
-	ab_W04
-	ab_W03
-	ab_W02
-	ab_W01
-	fTalk
-	EC_Expression
202	fGoodsShop2
-	fCount2
-	fPanelRuins
-	fGalaxy2
-	fGalaxy
-	fPanelPlanet
-	GI_CountBox
-	ab_Item
-	SE_Container
-	fRewards
-	GI_Track
-	fRating
-	fScaner
262	fInfo
-	fGov
-	fPlanet
-	fGameLoad
-	fGameMenu
-	fRating2
-	aScriptFun
-	fCustom
-	fListBox
-	fTextBox
-	fCount1
-	EC_Ether
-	SE_Missile
-	SimpleSteamApi
198	ExceptionInfo
-	aEObjInfo
-	fFilm
-	SE_Sputnik
-	SE_SoundRnd
-	SE_Meteorite
-	SE_Angel
-	SE_Comet
-	SE_Anim
-	SE_BGObj
-	SE_Laser
-	SE_StarsField
-	GI_Tail
-	DateUtils
-	fAchievements
-	fLoadAB
-	fGameSettings2
-	fGameSettings
-	fIntroduction
-	fAbout
-	fGameEnd
-	fCfgSettings
-	aModsInfo
-	aPacket
-	fMainForm
-	fMods
-	FGIntRSA
-	FGInt
-	SE_Garbage
-	TlHelp32
-	PsAPI
-	AccCtrl
-	AclAPI
-	DirectXRenderException
-	DirectDraw
-	PrintGameState
-	ab_Fast
-	sb_W01
-	GR_RectEx
